#Num of jobs: 10 
#Num of machines: 10 
                task 0            task 1            task 2            task 3            task 4            task 5            task 6            task 7            task 8            task 9      
  job id    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur
--------  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----
       0          8      2          7      5          4      1          3      2          5      4          0      3          1      3          6      5          2      5          9      1
       1          1      2          0      0          7      3          8      5          4      3          2      3          9      3          5      1          6      5          3      3
       2          8      1          0      0          7      2          1      5          4      5          3      0          6      5          2      5          9      5          5      1
       3          4      0          0      2          3      5          7      3          5      0          1      3          8      0          2      5          9      2          6      2
       4          3      4          9      0          0      3          8      5          4      1          5      4          1      0          2      5          6      4          7      1
       5          5      5          1      5          0      1          9      3          2      0          3      2          6      2          4      3          7      4          8      3
       6          9      1          1      1          2      5          5      5          8      0          4      3          7      1          6      4          3      2          0      2
       7          1      4          6      1          3      1          9      3          0      0          2      0          4      2          5      3          7      4          8      2
       8          4      5          1      5          6      3          7      2          2      1          3      1          9      2          0      5          5      3          8      1
       9          5      4          7      4          1      2          8      1          6      2          3      2          0      1          4      0          2      1          9      4
