#Num of jobs: 20 
#Num of machines: 15 
                task 0            task 1            task 2            task 3            task 4            task 5            task 6            task 7            task 8            task 9            task 10            task 11            task 12            task 13            task 14      
  job id    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur
--------  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----
       0          8      7          3     10          7      3          9      8          4      5         13      4          5      3         11      0          0      0          6      0         14      2          2      3         10      0         12      9          1      3
       1          1     10          0      5          4      6         11      5         13      6          3      1          2      5          9      1         14      2         12      2          7      4          8      7          5      7         10      2          6      1
       2          5      8          8      3          9      3         13      1          3      6          2      1          0      2          7      0         10     10          4      6          6      1          1      6         12      6         11      4         14      0
       3          6      7         10      0          3      6         11     10          1     10          5      7          8      4          7      9         12      5          0     10         14      2          9      5          4      1          2      4         13      6
       4          7      5          0      0          1      3          5      6          4      3          8      9          2      2          3      5          6      1         11      7         13      4         14      4         12      9          9      6         10      5
       5          2      3         11      6         10     10          6     10          0      7          9      7          7      7          5      5         12     10          3      6          8      7         13      1         14      4          4     10          1      2
       6          0      4          6      0         10      0          9      2          2      7          7     10          1     10         11      3          4      6         12      5          3      0         13      9          8      6         14      9          5      6
       7          6     10          2      2          5      6         10      0         12      4         13      5          4     10          0      9          3      8         14      3          1      8          9      7          7      6          8      9         11      7
       8          5      4          0      6          3      4         11      9          1      7         10     10          9     10         12     10         13      4          4      7         14      0          7      5          6      1          2      2          8      1
       9          9      9         11     10          8      0          5      4          7      5          1      7          3     10         10      1          6     10         14      3          0      8          4      7          2      3         13      7         12      5
      10          8      7          5      3         12      2          9      4         11     10         13     10         10      9          3      4          4     10          1      9          0      6          6     10          2      0         14      6          7      8
      11          5     10          7      8          3      7          1      8         13      7          0     10          2     10         12      1          8      5         14      7         11      5          9      0          6      5         10      6          4      4
      12         10      8          2      7          6      4          0      7         13      3         12      7          7      3          4      3          1     10          9      0         11      2         14      8          3      9          8      3          5      9
      13         13      9          2      4         10      4         14      1          8      8          4      9          7      2          5     10          0      9          3      4         12      8          1      8         11      7          6      2          9      9
      14          4      5          0      2          8      0          2     10         14      1         10      9          5      4          1      2          7      2          6      9         12      9          3      9         11      9         13     10          9      4
      15         12      2          2      3          8      6          3      2          6      5          4      8         13      9          5      4          0      0         10      5          7      1         11     10          9      5         14      1          1      7
      16          1      2          2      0         13      9          3      2         14      0          4      3         11      7          9      7          6      3         12      6          8     10          0      3          7      9         10      7          5      0
      17         10      6         13      8         14      4         12      5          1      6          9      6          3      7         11      6          2      1          4      3          6      3          8      0          7      2          5      0          0      7
      18          1      2         12      8          5      6          6      3          0      4          7      1          4      8         13      3          3      9          8      6         14      2         11      9         10      4          9      7          2      0
      19          2     10         12      7          6      5          7      4          1      5         13      0          8      3          9      8          5      6          4      5          0      0          3      7         14      2         11      6         10      8
