#Num of jobs: 20 
#Num of machines: 25 
                task 0            task 1            task 2            task 3            task 4            task 5            task 6            task 7            task 8            task 9            task 10            task 11            task 12            task 13            task 14            task 15            task 16            task 17            task 18            task 19            task 20            task 21            task 22            task 23            task 24      
  job id    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur
--------  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----
       0         23      4          1      1         13      9         14      4          4     10         19      4         11      7          7      7         20      6          5      7          0      8         15      4         22      9          9      8         12      7          6      1         18      6          8      9         16     10          3      4         17      1          2      8         24      4         10      9         21      7
       1          3     10         24      8         22      8          2      8          4      0         14      7         15      2         16     10          6      2         18      2         13      3         12      7          7      5         20      0          0      6         19      8          9      5         17      6          1      9         21      0         23      7         11     10          5     10         10     10          8      8
       2         24      4         15      0          0      7         22      8         16      6          3      1         21      1         18      2         10      6         14      2          8      7         13      6          2     10         11      2         20      9          1      9         12      3          9      3         17      4         19      9          4      2          7      2          5      9          6     10         23      9
       3         18      2         12      5         10      6         14      4         17      7          4      4          0     10         23      0         15      9          1      5         22      9          8      2         16      6         13      7         19      4          2      6         11      8          5      0          6      4          3      4          9      2          7      4         24      8         21      7         20      4
       4          9     10         13      1         12      7          8      3          2      0         21      4         20      7         17      3          1      4         19      1         22      6         10     10         14      8          6     10          5     10         23      7         18      0          7      8         16      9          4      1         24      1         11      6         15      8          0      5          3      4
       5          7      4         16      3         17      7          5      9         23      2         14      7          0      4         12      3          3      2         10      5          4      9         11      8          8      8         22      3          2      4         13      3          9      7         18      4         21      0         19      5          1      0         24      1          6      7         15      6         20      0
       6         14      2          2      4          4      0         23      7         21      6         24      5         11      4         17      1         16      8          6      9         10      9          1      3         19     10         13     10          9      9          3      2         12      0          5      1          0      0         22      6         20      9         18      0          8      6         15      2          7      7
       7         19      7         11      0         15      5          0      9         12      3          5      7         20      1          6      2         18      9         17      7          1     10         14     10         16      4          8     10          7      6         13      1         22      0          2      8         10      5          3      5         23     10          9      5         24      8         21      7          4      9
       8         13      9         21      8          6      7          2      9          8      8         12      6          0      7         11      4         17      4          5      4         18      9          3      0         23      6          1      1         14      3         15      0         20      6         24      5         19      9         10      7         22      3          7      3          9      1          4      0         16      8
       9         17      0         21      6          7     10         16      3         13      0         23      3         15      1         20      6          0      2         19      0         10      2         11     10          3      5          6     10          8     10          1      0         14      7         18      7          9      5         22      3          4     10         24      4          5      7         12      3          2      8
      10          2      2          6      2         20      9         12      8         17      2         24      2          0      4          5      7          1      4         14      5          8      6         11     10         23      3          3      4         10     10         18     10         13      1          7      5         15      4         21      9          4      0         16     10         19      4         22      0          9      0
      11         21      5         14      1          1      2          6      0         20      8         12      7         11      1          9      1         15      5          4      2         13      6         19      9          0      8         24      7         16      6          7      9          8      8         23      1         18      8          3      3         17      1         10      8         22      1          2      9          5      3
      12         23      1          9      6         15      9         12      1         16      2          7      9         19      6          0      7         21      2         13      7          2      7          6      0         11      5         22     10         18     10          8      0         10      2         14      3         17     10         20      3          4      1          1     10         24     10          3      4          5      4
      13         10     10         13      8         11      4         18      2          3      1          0      1         22      2         12      2         24      5          9     10          5      0          8      5         14      6         17      7         23     10          4      2         15      6          7      4          2      8         20     10         16      3         19      4          6      2          1     10         21      7
      14          4     10          3      5         23      0          7      0         22      7         10      0          0      1         12      5          5      9         13      4         20      3         21      4         14      4          1      8          8      2         19      4          2      4         15      4         18     10          6     10         11      2         16      7          9     10         17      6         24      8
      15         22      4          9      7         19     10         24      9         18      7          8      1         14      6         23     10          2      3         15      5          3      1          0      1          5      2         21      1          7      0         11      7         16     10         13      0         17      4         10     10          1      2         12      0         20      5          6     10          4      1
      16          8      7         18      3         19      2         24      8         13      1         23      8         15      7          0      2          7      6          2      7         17      2         14      2         21      2          6      6         22      4         10      8         16      7         20      6         12      7         11      9          9      0          3      4          5      2          1      4          4      7
      17         13     10          0     10         18      9          5     10          9      6          4      1          6      4         22      8          8      4         11      9         10      2         19      9          7      5         21      9         12      5         17      5         15      9         23      4         20      0         14      5          1      6          2      0         16      4          3     10         24      2
      18         21      3          4      5          0      2         16      3          5      2         14      0         12      3          2      7         17      2         10      2         11      4          8      9          3      4         13      6         24      3         19      6          7     10         15      5         23      9         20      7          9      7          1      0         22      1         18     10          6      4
      19         18      9          8      5          1      3         21      8          3      3          2      6         17      5         20      4          6      0          7      4         10      6          4      9         13      0         15      8          0     10          5      7         11      7         16      4         14      9         12      0         19      2         24      7         23      0         22      6          9      5
