#Num of jobs: 30 
#Num of machines: 30 
                task 0            task 1            task 2            task 3            task 4            task 5            task 6            task 7            task 8            task 9            task 10            task 11            task 12            task 13            task 14            task 15            task 16            task 17            task 18            task 19            task 20            task 21            task 22            task 23            task 24            task 25            task 26            task 27            task 28            task 29      
  job id    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur
--------  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----
       0         19     12         11     15          3      5         13     13          9      8         26      4          5     13         15      7         18      4         23     10          0      1          8      4         20      6         17      3          4      5          2     15         14      8         29     15         22      4         24      4         25     15         28     12         27     15         16     15          7      7          1      5         10      4         21     10         12      9          6      0
       1         25      5         17      9          9     13          3      3          1     15          0      0          8     12         16     14         28      6          5     13          7      1         21      9         12      3         20      1         27     11         18     11         26      5         15      8          2      5         29     13         19      8         24      4         23     10          6      6         14      9         10      1         22      9         13      3         11      5          4      8
       2         26      6         20      4          7      5         14      1         28      2          4     15         15     13          9      3         21      5          0      2         18     10          2      5         25     12         11     11          6      3         22      8         17      7          8      7         10      9         27      3         16      9         29     12         24      9         23     15         19      9          5     13         12     13          3     11         13     13          1      9
       3         26     12         17      4         21     12          2      1          0      2          4      2          3      9         24      0          1      4         22      1         16     15         14     10         23     14         15     12          8     12         12     13         28      4          9     10         11      0         29     12         18      0          7      0          6     15         20      7         25      0          5      4         13      5         10     13         27      7         19      1
       4          1      7         10      3          3      9         21     11         18     11          2     15         14     11          9     11         24     11         11      9         15     15         12      7          4      5         13     15         23      9          8      9          6      6         22     14         17      6         27      2         25      9         19     13         20      9          7      9          5      6          0      5         28     13         16      5         26      9         29      2
       5         18      4          5      3         19      5         20      6          7      9         15      3          8     14         29      4         11     11         10     12         22      9         14     13         16      8          4      9          2      8          1      8         13      7         24      3         23      5         12     13          6      4         21      0          3     14         27     13          0      0         25      7          9      3         28     10         17     15         26      6
       6         18      2          2      8         12      4         11      9         23      0          4     15         22      4         28     12         15     11          1     15          8      6         17      0         19      8          9     12          7     13         16      2         13     11         14     15         26      8         21     12          5      1         27      8         24      3         29     14         25      9          6     13         20      0         10      9          0      6          3      4
       7         19     12          3      1          7      2         15      7          8     13         20     11         25      4         29     13         17      8         22      0         24     12         10      6         23     14         16     10         26      0          6      4         27      5         14      5          2      6         28      4          1      3          0     11         12     10          9      7         21     10          4      3         18      0         11      7          5      4         13      2
       8         10      8          1      9         15      3         27      2         14      1         24     14         12     10          6      6         13      6         20      4          3     12         28      6          7      9          9      4         21      2         22      1         19      1          2     10         11      6         25     11         26      7         23      2         16      9          4      0          8      4         29      0          5     14          0      5         17      5         18     12
       9          9      1         14     13         23      3         28     12          7      3         18     12         12     15          0      0         24      0         27      3         19      1          5      1         25      5         10      9         20      6          1     12         17      8         21      1         11     14         26     13         13      1          8     15          3      7         29      5         15      2          6      8          4     10         16      4         22     10          2      0
      10          4      0         18      7          2     14         22     11          1      7         15      8         25      2         14      0         17      5         20     11         12     15         24     10         13     11          9      2          8     10          7      7          3     10         29      1         21      0         16      7          6      5         28     14         10     13         23      7          5      0         27      3          0     14         11      5         19      6         26     15
