#Num of jobs: 9 
#Num of machines: 9 
                task 0            task 1            task 2            task 3            task 4            task 5            task 6            task 7            task 8      
  job id    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur
--------  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----
       0          5      4          0      4          7      4          6      4          3      1          8      3          4      3          2      3          1      3
       1          2      4          7      5          3      5          0      2          6      5          8      2          1      2          4      1          5      0
       2          2      5          4      5          7      4          6      4          8      4          0      4          1      1          5      2          3      5
       3          5      0          8      3          0      1          6      3          7      3          3      5          2      2          4      2          1      5
       4          2      0          6      3          0      5          3      1          4      0          1      0          8      2          5      1          7      2
       5          4      2          6      5          3      1          7      4          2      4          5      2          0      1          8      1          1      0
       6          5      1          8      5          6      0          1      1          3      0          0      5          2      3          4      0          7      2
       7          0      0          4      4          6      0          7      2          3      2          8      2          5      4          2      1          1      5
       8          6      4          0      0          4      1          1      2          3      3          8      2          7      4          5      2          2      0
